UserDN,DirectoryPath
"OU=ALUMNI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Admin\alumni
OU=ANAT,\\hs.wvu-ad.wvu.edu\public\bassci\anat\
"OU=ANIMQ,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Admin\animq
"OU=Application and Web Services,OU=ITS",\\hs.wvu-ad.wvu.edu\public\ITS\application and web services\
"OU=AVP,OU=ADMIN,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Char_Div\ADMIN\AVP
"OU=AVP,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Admin\avp
"OU=BEHADPH,OU=SOP,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOP\BEHADPH
"OU=BEHM,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\som\behm
OU=BIOCHEM,\\hs.wvu-ad.wvu.edu\public\bassci\bioc\
"OU=BIOMED,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Admin\biomed
"OU=BIOSTAT,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\SPH\BIOSTAT
"OU=BPS,OU=SOP,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOP\BPS
"OU=BRNI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Admin\brni
"OU=CCC,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\MBRCC\CCC
"OU=CE,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Admin\ce
"OU=CED,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\Admin\ced
"OU=CED,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Admin\ced
"OU=CEI,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\MBRCC\CEI
"OU=Classroom Technology,OU=Support Services,OU=ITS",\\hs.wvu-ad.wvu.edu\public\ITS\support services\classroom technology\
"OU=CLIN,OU=SOP,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOP\CLIN
"OU=COA,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SPH\coa
"OU=DEAN,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOM\dean
"OU=DEAN,OU=SON,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SON\DEAN
"OU=DEAN,OU=SOP,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOP\DEAN
"OU=DERM,OU=MED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOM\med\derm
"OU=Desktop Support,OU=Support Services,OU=ITS","\\hs.wvu-ad.wvu.edu\public\ITS\support services\desktop support\"""
"OU=DH,OU=SOD Students,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",None
"OU=DPRH,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOD\dprh
"OU=DS,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\sod\ds
"OU=EMMED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOM\emmed
"OU=ENDO,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOD\endo
"OU=ENT,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOM\otol
"OU=EPIDEM,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SPH\EPIDEM
"OU=ETHICS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Admin\ethics
"OU=FACDEVEL,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOM\facdevel
"OU=FAMMED,OU=SOM,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Char_Div\SOM\FAMMED
"OU=FAMMED,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOM\FAMMED
"OU=HPML,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SPH\HPML
"OU=HR,OU=ADMIN,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Char_Div\ADMIN\HR
"OU=HRC,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SPH\HRC
"OU=ICRC,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SPH\ICRC
"OU=ICRC,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SPH\ICRC
"OU=IEC,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Admin\iec
"OU=INTMED,OU=SOM,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Char_Div\SOM\INTMED
"OU=LEGAL,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Admin\legal
"OU=MGMT,OU=ITS",\\hs.wvu-ad.wvu.edu\public\ITS\mgmt\
"OU=MGMT,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\MBRCC\MGMT
"OU=MGMT,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SPH\MGMT
"OU=MICRO,OU=BASSCI,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\bassci\micro
"OU=Network and Voice Services,OU=ITS",\\hs.wvu-ad.wvu.edu\public\ITS\Network and Voice Services\
"OU=NEURO,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOM\neuro
"OU=NEUSUR,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOM\neusur
"OU=OBGYN,OU=SOM,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Char_Div\SOM\OBGYN
"OU=OBGYN,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOM\obgyn
"OU=OCCMED,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SPH\occmed
"OU=OEHS,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SPH\OEHS
"OU=ORTHO,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOD\ortho
"OU=ORTHO,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOM\ortho
"OU=OS,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOD\os
"OU=PATH,OU=SOM",\\hs.wvu-ad.wvu.edu\public\path\
"OU=PATH,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\path\
"OU=PEDS,OU=SOM,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Char_Div\SOM\PEDS
"OU=PEDS,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOM\peds
"OU=PERIO,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOD\perio
"OU=PHYSIO,OU=BASSCI,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\bassci\physio
"OU=POISON,OU=SOP,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Char_Div\SOP\POISON
"OU=PRC,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\SPH\PRC
"OU=RAD,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOM\rad
"OU=RADONC,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\MBRCC\RADONC
"OU=RADSAF,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Admin\radsaf
"OU=RD,OU=SOD,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SOD\rd
"OU=RESEARCH,OU=SON,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SON\RESEARCH
"OU=RESLAB,OU=MBRCC,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\MBRCC\RESLAB
"OU=SBHS,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\SPH\SBHS
"OU=Security Services,OU=ITS",\\hs.wvu-ad.wvu.edu\public\ITS\security services\
"OU=SON,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Char_Div\SON
"OU=SOP,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Char_Div\SOP
"OU=STUALUM,OU=SON,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SON\STUALUM
"OU=Students,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",None
"OU=SURG,OU=SOM,OU=CHAR_DIV,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Char_Div\SOM\SURG
"OU=SURG,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\som\surg
"OU=SURG,OU=SOM,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\som\surg
"OU=VP,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Admin\vp
"OU=WELLNESS,OU=SPH,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\SPH\Wellness
"OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Admin\WVCTSI
"OU=WVSTEPS,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Admin\WVSTEPS
"OU=WVUCPRC,OU=WVCTSI,OU=ADMIN,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu",\\hs.wvu-ad.wvu.edu\public\Admin\WVCTSI\WVUCPRC
