sonstudentservices,66048,66048,No UAC change
HSC_SON_SECRETARIES,66048,66048,No UAC change
SON-EBO,66048,66048,No UAC change
HSC_SON_6522,66048,66048,No UAC change
dnfriend,66048,66048,No UAC change
btoothman,66048,66048,No UAC change
falharbi,66048,66048,No UAC change
lmstowers,66048,66048,No UAC change
smsellers,66048,66048,No UAC change
edailey,66048,66048,No UAC change
6400-minoltac552,66048,66048,No UAC change
mbatt,66048,66048,No UAC change
mmmichael,66050,66050,No UAC change
jaturner,66048,66048,No UAC change
rseabury,66048,66048,No UAC change
smccrone,66048,66048,No UAC change
bdeane,66048,66048,No UAC change
scotton,66048,66048,No UAC change
supinto,66048,66048,No UAC change
gvanvoorhis,66048,66048,No UAC change
ksandjecklin,66048,66048,No UAC change
dmccarty,66048,66048,No UAC change
mismith,66048,66048,No UAC change
mb0074,66048,66048,No UAC change
dlcastro,66048,66048,No UAC change
lap0004,66048,66048,No UAC change
awalke22,66048,66048,No UAC change
epesarsi,66048,66048,No UAC change
ccoole,66050,66050,No UAC change
swhuber,66048,66048,No UAC change
tpetitte,66048,66048,No UAC change
knadams,66048,66048,No UAC change
cbmiser,66048,66048,No UAC change
ala0010,66048,66048,No UAC change
pabinghammarrow,66048,66048,No UAC change
kosborn3,66048,66048,No UAC change
etaylor2,66048,66048,No UAC change
arowlands,66048,66048,No UAC change
jknox3,66048,66048,No UAC change
sshock,66050,66050,No UAC change
longstrethm,66048,66048,No UAC change
tantill,66048,66048,No UAC change
kvsmith1,66048,66048,No UAC change
dkeefov1,66048,66048,No UAC change
cjbarnhart,66048,66048,No UAC change
jbuck,66048,66048,No UAC change
rkromar,66048,66048,No UAC change
klinkous,66048,66048,No UAC change
greathouseg,66048,66048,No UAC change
cnolan,66048,66048,No UAC change
mjsmith,66048,66048,No UAC change
rowarbel,66048,66048,No UAC change
sebuskirk,66050,66050,No UAC change
ltheeke,66048,66048,No UAC change
snpierce,66048,66048,No UAC change
klbarker,66048,66048,No UAC change
bdellis,66048,66048,No UAC change
lconstantine,66048,66048,No UAC change
alminer,66048,66048,No UAC change
asmothers,66048,66048,No UAC change
ddefeo,66048,66048,No UAC change
pmaramba,66048,66048,No UAC change
snewfield,66048,66048,No UAC change
jewatson,66048,66048,No UAC change
bsmurray,66048,66048,No UAC change
ebarnes,66048,66048,No UAC change
bjsummers,66050,66050,No UAC change
gmaiocco,66048,66048,No UAC change
tmarcischak,66048,66048,No UAC change
rcarpenter,66048,66048,No UAC change
eminchau,66048,66048,No UAC change
cmott,66048,66048,No UAC change
msummers,66048,66048,No UAC change
dmcginnis,66048,66048,No UAC change
jamallow,66048,66048,No UAC change
tpayerchin,66048,66048,No UAC change
rvangilder,66048,66048,No UAC change
adwilson,66048,66048,No UAC change
mcayton,66048,66048,No UAC change
ghcarver,66048,66048,No UAC change
etheeke1,66048,66048,No UAC change
bebeck,66048,66048,No UAC change
srmckenrick,66048,66048,No UAC change
bk0006,66048,66048,No UAC change
lacain,66048,66048,No UAC change
emccart2,66048,66048,No UAC change
jfeathe7,66050,66050,No UAC change
cwaybri1,66048,66048,No UAC change
lcharder,66048,66048,No UAC change
jcopelan,66050,66050,No UAC change
ewade2,66048,66048,No UAC change
kterhune,66048,66048,No UAC change
sucoyle,66048,66048,No UAC change
plf0004,66048,66048,No UAC change
jr0042,66048,66048,No UAC change
HSC_SON_6700A,66048,66048,No UAC change
HSC_SON_6418,66048,66048,No UAC change
tecurtis,66048,66048,No UAC change
HSC_SON_6700H,66048,66048,No UAC change
HSC_SON_6700B,66048,66048,No UAC change
HSC_SON_Sim_Lab_GAs,66048,66048,No UAC change
HSC_SON_SKILLSLAB,66048,66048,No UAC change
rlevelle,66048,66048,No UAC change
pdeiriggi,66048,66048,No UAC change
kmccourt,66048,66048,No UAC change
NursingResearch,66048,66048,No UAC change
rsween,66048,66048,No UAC change
bkmallow,66048,66048,No UAC change
drsquier,66050,66050,No UAC change
lbadzek,66048,66048,No UAC change
lsdonaldson,66050,66050,No UAC change
jw0064,66050,66050,No UAC change
rfgiersch,66048,66048,No UAC change
mlcasey,66048,66048,No UAC change
mrstarcher,66048,66048,No UAC change
ganursingresearch,66048,66048,No UAC change
bmmiller,66048,66048,No UAC change
junguyen,66048,66048,No UAC change
up0002,66048,66048,No UAC change
onrws,66048,66048,No UAC change
brocovich,66048,66048,No UAC change
yk0003,66048,66048,No UAC change
zd0001,66048,66048,No UAC change
fanningm,66048,66048,No UAC change
jrdoring,66050,66050,No UAC change
gtcave,66048,66048,No UAC change
tmhulsey,66048,66048,No UAC change
dwilks,66048,66048,No UAC change
rep0012,66048,66048,No UAC change
kpwolfe,66048,66048,No UAC change
gnarsavage,66048,66048,No UAC change
HSC_SON_6702C,66048,66048,No UAC change
dmshaffer,66048,66048,No UAC change
remckaveney,66048,66048,No UAC change
cyevans,66048,66048,No UAC change
ampivont,66048,66048,No UAC change
brbosley,66048,66048,No UAC change
mostansell,66048,66048,No UAC change
pcbibey,66048,66048,No UAC change
nmlandy,66048,66048,No UAC change
rnbaker,66048,66048,No UAC change
amcanova,66048,66048,No UAC change
mlayers,66048,66048,No UAC change
kpstephenson,66048,66048,No UAC change
mbbiedermann,66048,66048,No UAC change
jalucas,66048,66048,No UAC change
karedillas,66050,66050,No UAC change
kjmarkle,66048,66048,No UAC change
jrricca,66048,66048,No UAC change
mjhidalgo,66048,66048,No UAC change
srshia,66048,66048,No UAC change
lkmilne,66048,66048,No UAC change
taevaniskolong,66050,66050,No UAC change
kadominici,66048,66048,No UAC change
klmahoney,66048,66048,No UAC change
mchornsby,66048,66048,No UAC change
knhudnall,66048,66048,No UAC change
rekesecker,66048,66048,No UAC change
lnbellardo,66048,66048,No UAC change
db0001,66050,66050,No UAC change
jpnewton,66050,66050,No UAC change
sbsturgill,66048,66048,No UAC change
keatkins,66048,66048,No UAC change
mrhuffman,66048,66048,No UAC change
cadevore,66048,66048,No UAC change
aamorrell,66048,66048,No UAC change
tecalvert,66048,66048,No UAC change
smtopardo,66048,66048,No UAC change
cdgosser,66048,66048,No UAC change
dsrodilosso,66048,66048,No UAC change
kmcahir,66048,66048,No UAC change
bzmiller,66048,66048,No UAC change
mjmanzo,66048,66048,No UAC change
cyharris,66048,66048,No UAC change
chbanks,66048,66048,No UAC change
ajpate,66048,66048,No UAC change
apettit,66048,66048,No UAC change
alstottlemyer,66048,66048,No UAC change
jnkelican,66048,66048,No UAC change
vldedig,66048,66048,No UAC change
slfitzpatrick,66048,66048,No UAC change
lcyeshnik,66048,66048,No UAC change
ocsabatino,66048,66048,No UAC change
clyantz,66048,66048,No UAC change
ntbrowning,66048,66048,No UAC change
sbsimmons,66048,66048,No UAC change
mrsuszynski,66048,66048,No UAC change
jawortman,66048,66048,No UAC change
klbranthoover,66048,66048,No UAC change
hkkaiser,66048,66048,No UAC change
dadaniels,66048,66048,No UAC change
tmmiller2,66048,66048,No UAC change
alprasetio,66048,66048,No UAC change
tcveach,66048,66048,No UAC change
jmcalcut,66048,66048,No UAC change
spburk,66050,66050,No UAC change
mcblack,66048,66048,No UAC change
hrinman,66048,66048,No UAC change
jjellis,66048,66048,No UAC change
mbbrake,66048,66048,No UAC change
lborr,66048,66048,No UAC change
mnwilson1,66048,66048,No UAC change
amroberts,66048,66048,No UAC change
msatkinson,66048,66048,No UAC change
jemcfield,66050,66050,No UAC change
arhoaglund,66050,66050,No UAC change
lnscragg,66048,66048,No UAC change
kmsarosi,66048,66048,No UAC change
cajewell,66048,66048,No UAC change
eddailey,66048,66048,No UAC change
bdnorris,66048,66048,No UAC change
jnmartin1,66050,66050,No UAC change
natracey,66048,66048,No UAC change
cazoeckler,66048,66048,No UAC change
btwood,66048,66048,No UAC change
smkacik,66048,66048,No UAC change
mlpethtel,66048,66048,No UAC change
tnkrisher,514,514,No UAC change
jxsmith,66048,66048,No UAC change
sbpayne,66048,66048,No UAC change
dlwykle,66048,66048,No UAC change
mmsantoro,66048,66048,No UAC change
mrmccormick,514,514,No UAC change
ldpost,66048,66048,No UAC change
HAPIProject,66050,66050,No UAC change
stti,66048,66048,No UAC change
nurse1,66048,66048,No UAC change
HSC_SON_6519,66048,66048,No UAC change
